id,label,color,2005,2006,2007,2008,2009,2010,2011,2012
1,Bundespräsident und Bundespräsidialamt,#CA221D,44673000.0,51701000.0,37371000.0,45685000.0,51826000.0,55121000.0,55873000.0,91050000.0
2,Deutscher Bundestag,#CA221D,1063778000.0,1135771000.0,1000985000.0,1142231000.0,1243376000.0,1295641000.0,1337979000.0,2053368000.0
3,Bundesrat,#CA221D,35227000.0,41938000.0,30524000.0,36276000.0,40101000.0,41964000.0,41775000.0,63582000.0
4,Bundeskanzlerin und Bundeskanzleramt,#CA221D,3049442000.0,3172058000.0,2906851000.0,3264520000.0,3531943000.0,3614140000.0,3772696000.0,5800241000.0
5,Auswärtiges Amt,#C22769,4468269000.0,4659076000.0,4483285000.0,6029574000.0,4048475000.0,5728426000.0,6894135000.0,10882110000.0
6,Bundesministerium des Innern,#3F93E1,8963973000.0,9112573000.0,8104541000.0,9088448000.0,10912708000.0,11645169000.0,12204676000.0,18356475000.0
7,Bundesministerium der Justiz,#481B79,1263756000.0,1373914000.0,1287918000.0,1488086000.0,1562622000.0,1732792000.0,1793183000.0,2796085000.0
8,Bundesministerium der Finanzen,#6AAC32,6823695000.0,8115728000.0,9249232000.0,10461781000.0,10836979000.0,13513105000.0,10125979000.0,14843385000.0
9,Bundesministerium für Wirtschaft und Arbeit,#42928F,99067319000.0,9907600000.0,11364150000.0,11637331000.0,13075307000.0,14854670000.0,22618308000.0,20225334000.0
10,"Bundesministerium für Ernährung, Landwirtschaft und Verbraucherschutz",#D32645,11022423000.0,10988769000.0,10508656000.0,10124459000.0,11077484000.0,11516999000.0,12354948000.0,18017453000.0
11,"Bundesministerium für Verkehr, Bau und Stadtentwicklung",#EDC92D,59036157000.0,56938019000.0,56336989000.0,55163014000.0,73297883000.0,68530008000.0,79699510000.0,93005899000.0
12,Bundesministerium der Verteidigung,#A5B425,49174467000.0,51314277000.0,53856050000.0,38885702000.0,52960853000.0,64473278000.0,65475626000.0,1.06255919e+11
13,Bundesministerium für Gesundheit,#211D79,2.55237052e+11,1029285000.0,4952045000.0,7556114000.0,5987414000.0,14640284000.0,22136503000.0,40887794000.0
14,"Bundesministerium für Umwelt, Naturschutz und Reaktorsicherheit",#449256,1638747000.0,1751794000.0,1553503000.0,1699914000.0,2863673000.0,3359617000.0,4830552000.0,7649090000.0
15,"Bundesministerium für Familie, Senioren, Frauen und Jugend",#7A2077,9948706000.0,9490509000.0,8937356000.0,9700625000.0,11761480000.0,13112828000.0,13532493000.0,20616152000.0
16,Bundesverfassungsgericht,#CA221D,32808000.0,36991000.0,30398000.0,39578000.0,42710000.0,46793000.0,66087000.0,76532000.0
17,Bundesrechnungshof,#CA221D,163896000.0,170513000.0,169416000.0,203491000.0,221602000.0,227277000.0,231948000.0,373034000.0
18,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung,#E29826,8788578000.0,8871658000.0,9328648000.0,10172303000.0,11493096000.0,12772451000.0,15408935000.0,20457257000.0
19,Bundesministerium für Bildung und Forschung,#44913D,17038707000.0,16716512000.0,23038607000.0,137251000.0,11961737000.0,21549627000.0,23130327000.0,41363232000.0
20,Bundesschuld,#2458A3,1.66996905e+11,1.45289832e+11,1.60373113e+11,1.30374661e+11,1.11607268e+11,1.5040239e+11,1.91692096e+11,2.31464093e+11
21,Versorgung,#2458A3,28645814000.0,-,-,-,-,-,-,-
22,Allgemeine Finanzverwaltung,#14388C,4.01982434e+11,4.02946848e+11,4.15038614e+11,4.67662545e+11,4.96178965e+11,4.9638176e+11,4.88292746e+11,7.67187667e+11
23,Bundesministerium für Arbeit und Soziales,#CD531C,-,136831000.0,1.29522271e+11,2.48284177e+11,2.58380686e+11,2.67945438e+11,2.8562997e+11,4.06135684e+11
